u^2,u^3
-0.07102302293042181,0.122849151500429
-0.06317964257912852,0.12695670145994525
-0.055079920380194686,0.1305615447107208
-0.04675598091244165,0.13365034029882458
-0.03824094172942459,0.1362117962244934
-0.02956877842292178,0.13823669984168632
-0.020774184656625075,0.1397179400788392
-0.01189242781639852,0.14065052161618377
-0.002959200965364592,0.14103157118282483
0.005989528170666776,0.1408603361604954
0.014917670429798972,0.14013817570055168
0.023789169868535322,0.13886854457641626
0.03256815903946998,0.13705697000549386
0.04121911407325795,0.13471102168277516
0.049707008738227164,0.13184027527320114
0.057997466649973815,0.12845626961169634
0.06605691080902724,0.12457245785897744
0.0738527096571755,0.12020415285820185
0.08135331886221868,0.11536846693268636
0.08852841806659086,0.11008424635874565
0.09534904186721342,0.10437200074065327
0.10178770433178683,0.09825382750727836
0.10781851640009586,0.09175333174257083
0.11341729556733426,0.0848955415552004
0.1185616672994292,0.07770681918673733
0.12323115768729091,0.07021476805317989
0.1274072769072185,0.06244813591175175
0.13107359311770866,0.054436714344016555
0.13421579648797274,0.04621123474774882
0.13682175311987718,0.03780326103386241
0.13888154869209643,0.029245079231170288
0.14038752172231111,0.020569584210910874
0.14133428640962623,0.011810163754838112
0.14171874508436663,0.0030005802051788545
0.14154009035540976,-0.005825150048208657
0.14079979710564786,-0.014632878968774047
0.13950160454349944,-0.02338845086615484
0.13765148857211998,-0.03205782766160263
0.13525762478766573,-0.04060721508190224
0.13233034246327613,-0.049003189412059237
0.12888206991605447,-0.05721282441079779
0.1249272716900158,-0.06520381796659815
0.12048237801856848,-0.07294461804612236
0.1155657070555178,-0.08040454746195463
0.11019738038380388,-0.08755392696315688
0.10439923232626445,-0.09436419613074477
0.09819471359276961,-0.10080803154135427
0.09160878980328734,-0.10685946164659814
0.0846678354270582,-0.11249397780339015
0.07739952367437809,-0.117688640882286
0.06983271286986471,-0.12242218287705282
0.06199732982490523,-0.1266751029395878
0.053924250712682247,-0.13042975727025058
0.04564517993220889,-0.1336704423048803
0.03719252742865211,-0.13638347065640222
0.028599284916378857,-0.13855723929107105
0.019898901429119775,-0.14018228944706754
0.011125158598904738,-0.141251357836296
0.002312046042465955,-0.14175941870867625
-0.006506362788907479,-0.1417037164017816
-0.015296033962108112,-0.1410837880470361
-0.024023095304527637,-0.13990147615650053
-0.0326539572424301,-0.138160930871112
-0.04115543195958087,-0.13586860171160617
-0.049494850616021456,-0.13303321873669807
-0.05764017838032585,-0.12966576307883004
-0.06556012703972522,-0.12577942689528127
-0.07322426496105208,-0.12138956284099604
-0.08060312418150693,-0.11651362323844654
-0.08766830441182417,-0.1111710891884812
-0.09439257373560739,-0.10538338993372365
-0.10074996578757599,-0.09917381285196358
-0.10671587319043115,-0.09256740452043637
-0.11226713702527753,-0.08559086335225267
-0.11738213210435114,-0.07827242436288054
-0.12204084780755882,-0.07064173667691034
-0.12622496423643723,-0.0627297344328062
-0.12991792343101233,-0.05456850178548276
-0.13310499538713558,-0.04619113274292543
-0.13577333860465782,-0.037631586603344855
-0.13791205489073857,-0.028924539783248417
-0.13951223813814723,-0.02010523484412497
-0.14056701679604028,-0.011209327536057318
-0.14107158975083026,-0.0022727326804641733
-0.14102325533778756,0.0066685302886241886
-0.14042143321030814,0.015578491314708627
-0.139267678803638,0.02442138244604458
-0.13756569014354533,0.03316178852739385
-0.13532130676815912,0.041764795111263076
-0.13254250055309738,0.0501961328764094
-0.12923935825615213,0.05842231787905451
-0.12542405562817496,0.06641078700422422
-0.12111082297134655,0.07413002803035496
-0.11631590206455523,0.08154970376917899
-0.11105749441793733,0.08864076979429034
-0.10535570086444136,0.09537558532505902
-0.09923245254520906,0.10172801688705115
-0.09271143339718792,0.10767353442517955
-0.08581799430521507,0.11318929960081751
-0.07857905913630217,0.11825424605843998
