u^2,u^3
0.017825214422115498,0.016250520101249603
-0.08299788798685602,-0.010677250421547612
0.028009853712538918,0.06848242225072049
0.043703394828082824,-0.06821914509808878
0.018125458658754937,0.016966655378691495
0.027110840306261885,0.0666495382408906
-0.07680807054236845,-0.009896009649685105
0.029141595113031243,0.06916507713541069
0.026857082092443346,0.06673533924508081
0.02784803224292207,0.0697280292356409
0.018849816873169722,0.016464699796039702
-0.006407174008806161,-0.0045787249364943276
0.04410959471628836,-0.06787980859750675
0.028355129744485376,0.06679955359719013
0.045404864904771094,-0.07031936647215344
0.04539524516493367,-0.07034100752174177
0.027952027319334688,0.06780579628663766
0.04500238474801048,-0.0657714803535875
-0.006720272040958297,-0.007000423841458239
0.042971036836327074,-0.06920356120406376
0.017250391232379998,0.01563039206803217
0.044818841326723896,-0.07024733945931921
-0.07704921107845925,-0.009532663485374923
-0.08234608121800681,-0.010611698651312132
0.04612894962046993,-0.07020145293607834
0.017433004314994203,0.017417727424341358
0.017834421052545398,0.016242545364121952
-0.0057471004274363725,-0.0034982242325117658
-0.005250978599210843,-0.005430307880432712
0.027170681242462198,0.06633611826708831
-0.07812497129523192,-0.010357724476519553
0.04684507243791535,-0.07232962127895926
0.029010000715486057,0.06863975388383858
0.015554177413631949,0.01708153765563987
-0.07743921515342886,-0.008965495496148652
-0.08091057115825076,-0.0106977616418864
0.028926529818798882,0.06816639071618563
0.02819661599146589,0.06710216583694038
-0.08229280419364532,-0.010626272914327741
-0.08139296788945,-0.010048492440660231
-0.07997224052344201,-0.009882057660198444
-0.005652762876102633,-0.0062199186169160725
0.026363752327656014,0.06591933675190079
-0.006075592210732146,-0.005943183988935343
0.042196571874211795,-0.06578964214513246
-0.0050161527831529265,-0.006834466350298386
0.01875093053393547,0.01594284872953441
0.017397155436179725,0.014221364650749174
0.017903201268546935,0.015667464986185264
-0.0060599825916281495,-0.003787538023114762
-0.08007846559841071,-0.01199050854422946
0.043145831060133845,-0.06908953906531667
-0.005915317470025672,-0.006962901659317144
-0.007302139667794106,-0.0051577424996958835
0.0449482165455854,-0.06977507296778601
-0.005117747296962201,-0.005714199334939548
0.028012017525548532,0.06622917218065463
0.04540832995419903,-0.07029110823672462
-0.08059549872433283,-0.009853110943334463
-0.006273130855374314,-0.004551974503342236
0.016224502084223828,0.014818079625819445
-0.08050393653971631,-0.00934656838984539
0.018003744958237186,0.014827688468506638
-0.08200775313359258,-0.011432414033361213
0.04587288830104911,-0.06952857824529624
0.02851331015024839,0.06932464104778517
-0.005244066863990276,-0.005418334977211704
0.04544501712035199,-0.07039034466483644
0.026628333734829073,0.06695847522096723
0.028371685981372224,0.0665372508866429
-0.08394811477877862,-0.010932728918414122
0.02808778054680695,0.06811602044514736
0.01816002594272488,0.015337547551802952
0.016444750164023206,0.016080141723721887
-0.006203304945577769,-0.00547533143040546
0.017837343888814517,0.01621958639381043
0.04372688211546055,-0.0691980458142744
-0.08098939016652207,-0.009656936315633408
0.044075714135611406,-0.06777841955850633
0.029251474120061485,0.0678707919840026
0.045428347910770536,-0.0702950684292379
-0.006418601156394238,-0.004523119772553285
0.015553081348090055,0.014923359786734843
0.04518089329550531,-0.06951421206871826
0.017338668798690365,0.016874540656920095
0.01713678737753714,0.0167010989469374
