u^2,u^3,u^4
(0.2680896634599618+0j),(-0.5804656756638186+0j),(0.033658175331034955+0j)
(-0.355283895934096+0j),(-0.04592058099855646+0j),(0.6190329738169895+0j)
(-0.2904524080389055+0j),(-0.19330399697039558+0j),(-0.04388063648992213+0j)
(-0.39416451780614475+0j),(-0.08615113925051915+0j),(-0.7688825632862685+0j)
(0.0223627445789434+0j),(0.7737696726342138+0j),(0.010222461158886986+0j)
(0.7494484137402406+0j),(0.1320717202490758+0j),(0.14984958946927912+0j)
