(0.9691280261560269+0j),(0.966883402638113+0j)
(0.9696434263444634+0j),(0.9679841586685826+0j)
(0.966520322998529+0j),(0.9651699349721137+0j)
(0.970895099999947+0j),(0.9666472968340496+0j)
