u^2,u^3,u^4
(-0.40824829046386313+0j),(0.2653619926578241+0j),(0.2154392277253238+0j)
(-0.40824829046386324+0j),(0.38251597921225433+0j),(0.658558985117+0j)
(-0.408248290463863+0j),(-0.05310554084677059+0j),(0.13621417247427522+0j)
(-0.408248290463863+0j),(0.3841689395167451+0j),(-0.6128474907395589+0j)
(-0.40824829046386285+0j),(-0.21225645181105365+0j),(-0.3516534001995989+0j)
(-0.40824829046386285+0j),(-0.7666849187289992+0j),(-0.045711494377441014+0j)
