u^2,u^3
0.13110434848022856,0.053003583236653835
0.13415983287978528,0.04465471727089722
0.13668718759615278,0.036137879669446045
0.13867438563017354,0.027494637335201084
0.14013235026730836,0.018695072936111928
0.14104602856138782,0.009853016153232747
0.1413871036250186,0.0009794336226131779
0.14118031066587122,-0.007896019298985837
0.14042786612431268,-0.01674845420966605
0.13912055306808288,-0.025513505102941737
0.13724427633498665,-0.03418756423759089
0.13482473091886354,-0.042740689299238896
0.13188914170484278,-0.05110718237370267
0.12842738838668807,-0.05928604502869229
0.12444869454055774,-0.0672120701036996
0.11996016960891383,-0.07490708931606961
0.11502286266069342,-0.08230142808726211
0.10961778664223375,-0.08938044251007131
0.1037879070788235,-0.09609376892546649
0.09754333483104885,-0.1023895811047413
0.09090243384479428,-0.10833864129346915
0.08391633673221166,-0.11381258139874921
0.07659015038653187,-0.11889268008550531
0.06896635360330569,-0.12343593290511369
0.06106860927748123,-0.12753724748158535
0.05295531173192044,-0.13112198968335412
0.04461702752995386,-0.13417279005763502
0.0361151430956356,-0.1367429699113537
0.02747511521688165,-0.13873819786319688
0.018734529106307452,-0.14021160884149164
0.00990316859892754,-0.14109841769174916
0.0010277558419717323,-0.14141843965736
-0.00783782125514302,-0.1411897827009688
-0.016685126510501923,-0.14041726240560107
-0.025468234694456644,-0.13907767121849773
-0.03416779084866475,-0.13719016189487154
-0.04272131778990771,-0.1347742575792757
-0.05110649823413007,-0.13183257879943822
-0.059293749019638936,-0.12836790810154589
-0.06725869111660734,-0.12441764610255385
-0.07495739566165728,-0.11996994648590473
-0.08233098061952243,-0.11501739910034141
-0.08940142102812743,-0.10962490935829605
-0.09610366673539712,-0.1037820586522927
-0.10243886227458286,-0.09753187580234816
-0.10837069257303361,-0.09092016966696377
-0.1138619639265755,-0.08394570886022464
-0.11889316502018325,-0.07665148007622187
-0.12345565367965777,-0.06899872129119781
-0.1275336228480689,-0.061124649315276024
-0.1311012411116129,-0.053000360850098384
-0.13415918226682413,-0.04463212049088465
-0.13668123920951478,-0.036148993011774495
-0.1386801749090954,-0.027491881801198166
-0.1401373900133578,-0.018714741683561065
-0.14103774268371302,-0.009864330911957842
-0.14138808383232565,-0.0009809800300144408
-0.1411809709938295,0.007880776706579183
-0.14041729157761115,0.016760003847975477
-0.13910805791668174,0.02552931404847447
-0.13723503124767222,0.03421081368869142
-0.1348297175037862,0.042751715274693354
-0.13188735719103753,0.05110932140628651
-0.12843053914472,0.05927983540593965
-0.12444404349442832,0.06720130386888228
-0.11997104252174949,0.07491358973481647
-0.11502595420971436,0.08231104489977352
-0.10961982886237559,0.08937323866035984
-0.10379658854985156,0.09608926850740145
-0.09754694438304698,0.10241005760058487
-0.09091497697983121,0.10832560467448722
-0.08391319620426371,0.11381311063324201
-0.07658540705879432,0.11887076160350327
-0.06896259689527764,0.12344772475337298
-0.06107493280437651,0.1275271898905095
-0.05295103097279854,0.13113960543295503
-0.044616061820624144,0.13420819097998504
-0.036107444481797764,0.13672348953647437
-0.02748364581975983,0.13874226409677376
-0.01873059149689388,0.14018916545700655
-0.009892548903452283,0.14106801663066923
-0.0010313172206669829,0.14140769636257106
0.007842128012817237,0.14119708253860042
0.01669362824823952,0.14041352776875032
0.025481900576116847,0.13909511987078038
0.03417498361114829,0.13720801463575366
0.0427142741790853,0.13478610247319492
0.05110240356664505,0.13183332770334655
0.05929895154365308,0.1283746272994022
0.06725955853454012,0.1244090589253619
0.07493921898579389,0.11996131272875438
0.08233322111210267,0.11502563105662421
0.08938961405753926,0.10961083207715651
0.09610215532082833,0.10378312031893107
0.10244054228587184,0.09755586620603837
0.10835868686407145,0.09090377640189379
0.11385444375639604,0.08394584595912487
0.11889720415821795,0.07661762417006382
0.12346227573921333,0.06900229184106989
0.12752544099316446,0.06112832675898908
